
2025/02/24 (19:31:24) | ===> btop++ v.1.4.0
2025/02/24 (19:31:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (20:48:19) | ===> btop++ v.1.4.0
2025/02/24 (20:48:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (20:48:33) | ===> btop++ v.1.4.0
2025/02/24 (20:48:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (20:48:57) | ===> btop++ v.1.4.0
2025/02/24 (20:48:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (20:51:59) | ===> btop++ v.1.4.0
2025/02/24 (20:51:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (16:31:32) | ===> btop++ v.1.4.0
2025/02/25 (16:31:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (16:32:01) | ===> btop++ v.1.4.0
2025/02/25 (16:32:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (16:32:24) | ===> btop++ v.1.4.0
2025/02/25 (16:32:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (22:23:58) | ===> btop++ v.1.4.0
2025/02/25 (22:23:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (17:29:17) | ===> btop++ v.1.4.0
2025/02/26 (17:29:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (19:06:56) | ===> btop++ v.1.4.0
2025/02/26 (19:06:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (19:07:38) | ===> btop++ v.1.4.0
2025/02/26 (19:07:38) | WARNING: Intel GPU: Failed to initialize PMU
